paper_id,methods,model1,model2,model3,model4,model5,model6
multi-label-categorization-of-accounts-of,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
evolving-gaussian-process-kernels-from,Gaussian Process,Gaussian Process,,,,,
generative-neural-network-based-spectrum,AutoEncoder,Autoencoder,,,,,
man-in-the-middle-attacks-against-machine,VAE,VAE,,,,,
on-solving-minimax-optimization-locally-a-1,"GAN, Convolution",GAN,,,,,
evolution-of-transfer-learning-in-natural,"Attention Dropout, DropConnect, GELU, Dense Connections, Cosine Annealing, Label Smoothing, WordPiece, Residual Connection, Embedding Dropout, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Weight Tying, Linear Warmup With Cosine Annealing, Dropout, Linear Layer, Variational Dropout, Discriminative Fine-Tuning, LSTM, ELMo, Slanted Triangular Learning Rates, Transformer, BiLSTM, GPT, Multi-Head Attention, Temporal Activation Regularization, AWD-LSTM, Tanh Activation, Linear Warmup With Linear Decay, Activation Regularization, BERT, Adam, ReLU, Absolute Position Encodings, ULMFiT, BPE",LSTM,ELMo,GPT,BERT,Transformer,BiLSTM
towards-a-precipitation-bias-corrector,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
knowledge-aware-autoencoders-for-explainable,AutoEncoder,Autoencoder,,,,,
many-faces-of-feature-importance-comparing,"SVM, LIME",SVM,,,,,
implicit-context-aware-learning-and-discovery,AutoEncoder,Autoencoder,,,,,
generalised-learning-of-time-series-ornstein,Gaussian Process,Gaussian Process,,,,,
bayesian-optimization-allowing-for-common,Gaussian Process,Gaussian Process,,,,,
spatiotemporal-emotion-recognition-using-deep,SVM,SVM,,,,,
resource-allocation-in-mobility-aware,"DQN, Dense Connections, Q-Learning, Convolution",Q-Learning,,,,,
q-gadmm-quantized-group-admm-for,"Linear Regression, SPEED, ADMM",Linear Regression,,,,,
train-where-the-data-is-a-case-for-bandwidth,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
combining-acoustics-content-and-interaction,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
a-bert-based-transfer-learning-approach-for,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
leanconvnets-low-cost-yet-effective,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
fragment-graphical-variational-autoencoding,AutoEncoder,Autoencoder,,,,,
191013327,Linear Regression,Linear Regression,,,,,
191013315,AutoEncoder,Autoencoder,,,,,
region-based-convolution-neural-network,"Mask R-CNN, RPN, U-Net, Concatenated Skip Connection, RoIAlign, Convolution, Softmax, Max Pooling, ReLU",CNN,,,,,
hybrid-machine-learning-model-of-extreme,SVM,SVM,,,,,
safe-exploration-for-interactive-machine,Gaussian Process,Gaussian Process,,,,,
a-machine-learning-nowcasting-method-based-on,SVM,SVM,,,,,
named-entity-recognition-is-there-a-glass-1,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, ELMo, BiLSTM, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ELMo,LSTM,BiLSTM,,
efficient-feature-selection-techniques-for,"Logistic Regression, Feature Selection",Logistic Regression,,,,,
quantum-wasserstein-generative-adversarial,"WGAN, GAN, Convolution",GAN,,,,,
on-neural-architecture-search-for-resource,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
laplacian-smoothing-stochastic-gradient,Logistic Regression,Logistic Regression,,,,,
decoding-of-visual-related-information-from,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
detect-toxic-content-to-improve-online,"Tanh Activation, GRU, LSTM, Sigmoid Activation, GloVe, SVM",SVM,GRU,LSTM,,,
study-of-constrained-network-structures-for,"WGAN, Convolution, GAN",GAN,,,,,
assessing-social-and-intersectional-biases-in,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, Dropout, BPE, Linear Layer, Attention Dropout, Discriminative Fine-Tuning, GELU, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, WordPiece, Residual Connection",BERT,GPT,,,,
on-solving-the-2-dimensional-greedy-shooter,Q-Learning,Q-Learning,,,,,
online-gaussian-process-learning-based-model,Gaussian Process,Gaussian Process,,,,,
towards-the-use-of-neural-networks-for,GRU,GRU,,,,,
stronger-convergence-results-for-deep,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
kernel-dependence-regularizers-and-gaussian,Gaussian Process,Gaussian Process,,,,,
negbert-a-transfer-learning-approach-for,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
earthquakegen-earthquake-simulation-using,"GAN, Convolution",GAN,,,,,
subjective-sentiment-analysis-for-arabic,Logistic Regression,Logistic Regression,,,,,
preservation-of-anomalous-subgroups-on,AutoEncoder,Autoencoder,,,,,
perceiving-the-arrow-of-time-in,"LAMB, Multi-Head Attention, Adam, WordPiece, Linear Layer, Residual Connection, ALBERT, GELU, Layer Normalization, Dense Connections, Scaled Dot-Product Attention, Causal inference, Softmax",BERT,ALBERT,,,,
infra-slow-brain-dynamics-as-a-marker-for,Gaussian Process,Gaussian Process,,,,,
objectnet-a-large-scale-bias-controlled,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
icebreaker-element-wise-efficient-information,AutoEncoder,Autoencoder,,,,,
generative-adversarial-networks-gan-based,"SPEED, GAN, Convolution",GAN,,,,,
smiles-transformer-pre-trained-molecular,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
cheetah-an-ultra-fast-approximation-free-and,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
domaingan-generating-adversarial-examples-to,"GAN, Convolution",GAN,,,,,
conjugate-gradients-for-kernel-machines,Gaussian Process,Gaussian Process,,,,,
few-features-attack-to-fool-machine-learning,"GAN, Convolution",GAN,,,,,
the-effectiveness-of-variational-autoencoders,AutoEncoder,Autoencoder,,,,,
deepsat-v2-feature-augmented-convolutional,Deep Belief Network,Deep Belief Network,,,,,
periodic-spectral-ergodicity-a-complexity,"ResNet, LSTM, Average Pooling, Dense Connections, Global Average Pooling, VGG, Residual Connection, Bottleneck Residual Block, Tanh Activation, Sigmoid Activation, Convolution, Residual Block, Softmax, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",ResNet,VGG,LSTM,,,
topological-based-classification-using-graph,GCN,GCN,,,,,
predicting-overweight-and-obesity-in-later,Logistic Regression,Logistic Regression,,,,,
mixed-curvature-variational-autoencoders-1,VAE,VAE,,,,,
deep-learning-for-epidemiological-predictions,Gaussian Process,Gaussian Process,,,,,
a-framework-for-end-to-end-deep-learning,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
machine-learning-classification-informed-by-a,SVM,SVM,,,,,
towards-reducing-bias-in-gender,AutoEncoder,Autoencoder,,,,,
rule-extraction-in-unsupervised-anomaly,SVM,SVM,,,,,
feature-extraction-based-machine-learning-for,SVM,SVM,,,,,
shape-detection-in-2d-ultrasound-images,"DPN, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, Grouped Convolution, DPN Block, Residual Connection, Logistic Regression, Convolution, Softmax, Max Pooling, FCN, 1x1 Convolution, Batch Normalization",Logistic Regression,,,,,
factorized-multimodal-transformer-for,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
wildmix-dataset-and-spectro-temporal,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
differentially-private-federated-variational,Logistic Regression,Logistic Regression,,,,,
join-query-optimization-with-deep,Q-Learning,Q-Learning,,,,,
privacy-preserving-neural-network-inference,"Dense Connections, SPEED, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
property-invariant-embedding-for-automated,Graph Neural Network,GNN,,,,,
sag-vae-end-to-end-joint-inference-of-data,AutoEncoder,Autoencoder,,,,,
benefits-of-jointly-training-autoencoders-an,"AutoEncoder, ReLU",Autoencoder,,,,,
solving-arithmetic-word-problems,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
a-quasi-newton-method-based-vertical,Logistic Regression,Logistic Regression,,,,,
kernelnet-a-data-dependent-kernel,AutoEncoder,Autoencoder,,,,,
make-thunderbolts-less-frightening-predicting,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, UNet++, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",U-Net++,U-Net,ResNet,,,
the-comparison-of-methods-for-individual,Logistic Regression,Logistic Regression,,,,,
learning-to-dynamically-coordinate-multi,Q-Learning,Q-Learning,,,,,
an-interpretable-prediction-model-for-obesity,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
trident-efficient-4pc-framework-for-privacy,"Linear Regression, Logistic Regression",Logistic Regression,Linear Regression,,,,
self-supervised-contextual-language,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,,,,
astra-high-throughput-3pc-over-rings-with,SVM,SVM,,,,,
privacy-preserving-inference-in-machine,"VGG-19, GAN, Convolution",GAN,VGG,VGG-19,,,
solving-forward-and-inverse-problems-using,AutoEncoder,Autoencoder,,,,,
bert-has-a-moral-compass-improvements-of,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,RoBERTa,,,,
variational-learning-with-disentanglement,"VAE, Beta-VAE, cVAE",VAE,,,,,
expansion-of-cyber-attack-data-from,"GAN, Convolution",GAN,,,,,
exact-expressions-for-double-descent-and,Linear Regression,Linear Regression,,,,,
peek-inside-the-closed-world-evaluating,AutoEncoder,Autoencoder,,,,,
performance-analysis-of-deep-autoencoder-and,AutoEncoder,Autoencoder,,,,,
leveraging-end-to-end-speech-recognition-with,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
learning-and-optimization-with-bayesian,Gaussian Process,Gaussian Process,,,,,
long-length-legal-document-classification,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
high-dimensional-precision-medicine-from,Q-Learning,Q-Learning,,,,,
comparisonal-study-of-deep-learning,"Average Pooling, Dense Connections, Global Average Pooling, Depthwise Separable Convolution, Depthwise Convolution, Xception, Residual Connection, Pointwise Convolution, Convolution, Softmax, Max Pooling, MobileNetV2, 1x1 Convolution, ReLU, Inverted Residual Block, Batch Normalization",Xception,LeNet,MobileNetV2,,,
a-robust-predictive-model-for-stock-price,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
sigma-strengthening-ids-with-gan-and,"GAN, Convolution",GAN,,,,,
deep-mining-detecting-anomalous-patterns-in,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
learning-neural-surrogate-model-for-warm,Gaussian Process,Gaussian Process,,,,,
a-fair-comparison-of-graph-neural-networks-1,"Graph Neural Network, RAN",GNN,,,,,
empirical-comparisons-of-cnn-with-other,Logistic Regression,Logistic Regression,,,,,
latent-variables-on-spheres-for-sampling-and-1,"AutoEncoder, VAE",VAE,Autoencoder,,,,
random-capsnet-forest-model-for-imbalanced,Capsule Network,Capsule Network,,,,,
tensor-basis-gaussian-process-models-of,Gaussian Process,Gaussian Process,,,,,
customers-churn-prediction-in-financial,Logistic Regression,Logistic Regression,,,,,
betanas-balanced-training-and-selective-drop-1,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
pruning-deep-neural-networks-architectures,"DCNN, Convolution, Pruning",CNN,DCNN,,,,
a-dynamic-sampling-adaptive-sgd-method-for,"Logistic Regression, SGD, Adam",Logistic Regression,,,,,
autodiscern-rating-the-quality-of-online,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
natural-language-processing-of-mimic-iii,"Weight Tying, ULMFiT, Dropout, Temporal Activation Regularization, AWD-LSTM, Variational Dropout, Discriminative Fine-Tuning, Tanh Activation, Embedding Dropout, DropConnect, LSTM, Sigmoid Activation, Activation Regularization, Slanted Triangular Learning Rates",LSTM,,,,,
text-classification-for-azerbaijani-language,SVM,SVM,,,,,
kernelized-support-tensor-train-machines,SVM,SVM,,,,,
pre-trained-contextual-embedding-of-source-1,"Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, Label Smoothing, Transformer, BiLSTM, Multi-Head Attention, CuBERT, WordPiece, Residual Connection, Tanh Activation",BERT,Transformer,LSTM,BiLSTM,,
visual-evaluation-of-generative-adversarial,"GAN, Convolution",GAN,,,,,
forecasting-bitcoin-closing-price-series,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
identifying-and-compensating-for-feature,Logistic Regression,Logistic Regression,,,,,
simulation-of-turbulent-flow-around-a-generic,Gaussian Process,Gaussian Process,,,,,
exploiting-event-driven-cameras-for-spatio,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
machine-learning-classifiers-for-logographic,Logistic Regression,Logistic Regression,,,,,
macromolecule-classification-based-on-the,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
choosing-the-sample-with-lowest-loss-makes,"Linear Regression, SGD",Linear Regression,,,,,
multi-layer-optimizations-for-end-to-end-data,Linear Regression,Linear Regression,,,,,
an-explainable-autoencoder-for-collaborative,AutoEncoder,Autoencoder,,,,,
ddsp-differentiable-digital-signal-processing-1,"GRU, DDSP",GRU,,,,,
unsupervised-pool-based-active-learning-for,Linear Regression,Linear Regression,,,,,
machine-learning-for-total-cloud-cover,Logistic Regression,Logistic Regression,,,,,
scalable-hyperparameter-optimization-with-1,"Gaussian Process, SPEED",Gaussian Process,,,,,
graphbgs-background-subtraction-via-recovery,"Mask R-CNN, RPN, RoIAlign, Convolution, Softmax",CNN,,,,,
data-driven-permanent-magnet-temperature,Linear Regression,Linear Regression,,,,,
sglb-stochastic-gradient-langevin-boosting,Logistic Regression,Logistic Regression,,,,,
up-to-two-billion-times-acceleration-of,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
expected-information-maximization-using-the-i-1,"GAN, Convolution",GAN,,,,,
sentiment-polarity-detection-in-azerbaijani,SVM,SVM,,,,,
predicting-sentiment-of-polish-language-short,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, ELMo, BiLSTM, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ELMo,LSTM,BiLSTM,,
turkish-tweet-classification-with-transformer,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
machine-learning-for-a-music-glove-instrument,"Logistic Regression, GloVe",Logistic Regression,,,,,
imperfect-imaganation-implications-of-gans,"ProGAN, Leaky ReLU, Dense Connections, GAN, Convolution, Local Response Normalization, WGAN-GP Loss, 1x1 Convolution",GAN,,,,,
opfython-a-python-inspired-optimum-path,Logistic Regression,Logistic Regression,,,,,
convergence-guarantees-for-gaussian-process,Gaussian Process,Gaussian Process,,,,,
privacy-preserving-gaussian-process,Gaussian Process,Gaussian Process,,,,,
multi-participant-multi-class-vertical,"Logistic Regression, Feature Selection",Logistic Regression,,,,,
a-hybrid-quantum-enabled-rbm-advantage,"AutoEncoder, Restricted Boltzmann Machine",Autoencoder,,,,,
deep-learning-based-unsupervised-and-semi,AutoEncoder,Autoencoder,,,,,
autofcl-automatically-tuning-fully-connected,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Residual Connection, Bottleneck Residual Block, Softmax, Residual Block, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",ResNet,DenseNet,,,,
data-driven-discovery-of-coarse-grained,Linear Regression,Linear Regression,,,,,
weatherbench-a-benchmark-dataset-for-data,Linear Regression,Linear Regression,,,,,
linearly-constrained-gaussian-processes-with,Gaussian Process,Gaussian Process,,,,,
improved-subsampled-randomized-hadamard,SVM,SVM,,,,,
macroscopic-traffic-flow-modeling-with,Gaussian Process,Gaussian Process,,,,,
the-costs-and-benefits-of-goal-directed,DCNN,CNN,DCNN,,,,
perm2vec-graph-permutation-selection-for,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
mitigating-query-flooding-parameter,Linear Regression,Linear Regression,,,,,
defending-adversarial-attacks-via-semantic,AutoEncoder,Autoencoder,,,,,
understanding-and-optimizing-packed-neural,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Softmax, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",DenseNet,,,,,
the-effect-of-data-augmentation-on,"GAN, Convolution",GAN,,,,,
high-temporal-resolution-rainfall-runoff,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
one-shot-bayes-opt-with-probabilistic,"Gaussian Process, Population Based Training",Gaussian Process,,,,,
nonlinear-equation-solving-a-faster,PixelCNN,CNN,,,,,
a-spike-in-performance-training-hybrid,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
a-physiology-driven-computational-model-for,Logistic Regression,Logistic Regression,,,,,
on-a-scalable-entropic-breaching-of-the,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
finitenet-a-fully-convolutional-lstm-network,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
deep-transfer-learning-for-physiological,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
more-data-can-expand-the-generalization-gap,Linear Regression,Linear Regression,,,,,
superbloom-bloom-filter-meets-transformer-1,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
image-analysis-enhanced-event-detection-from,AutoEncoder,Autoencoder,,,,,
graph-prolongation-convolutional-networks,GCN,GCN,,,,,
minimax-theorem-for-latent-games-or-how-i,"WGAN, Convolution",GAN,,,,,
how-to-0wn-nas-in-your-spare-time,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
active-bayesian-assessment-for-black-box,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
tplvm-portfolio-construction-by-students-t,Gaussian Process,Gaussian Process,,,,,
application-of-pre-training-models-in-named,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, ERNIE, Weight Decay",BERT,RoBERTa,,,,
comparative-visual-analytics-for-assessing,AutoEncoder,Autoencoder,,,,,
adversarial-detection-and-correction-by,AutoEncoder,Autoencoder,,,,,
efficient-learning-of-model-weights-via,Linear Regression,Linear Regression,,,,,
maxup-a-simple-way-to-improve-generalization,"DropConnect, CutMix, Average Pooling, Dense Connections, Global Average Pooling, ProxylessNet-GPU, Residual Connection, Bottleneck Residual Block, Embedding Dropout, NT-ASGD, Sigmoid Activation, FixRes, Squeeze-and-Excitation Block, ProxylessNet-Mobile, Pointwise Convolution, Weight Decay, Weight Tying, 1x1 Convolution, Dropout, Random Resized Crop, Variational Dropout, ResNet, LSTM, Random Horizontal Flip, EfficientNet, Depthwise Separable Convolution, RMSProp, Depthwise Convolution, Temporal Activation Regularization, MaxUp, AWD-LSTM, Tanh Activation, Activation Regularization, ProxylessNet-CPU, Convolution, Residual Block, Max Pooling, ReLU, Inverted Residual Block, Swish, Kaiming Initialization, Batch Normalization",ResNet,EfficientNet,LSTM,,,
forecasting-foreign-exchange-rate-a,SVM,SVM,,,,,
empirical-study-on-airline-delay-analysis-and,Logistic Regression,Logistic Regression,,,,,
freeze-discriminator-a-simple-baseline-for,"Feedforward Network, Leaky ReLU, Dense Connections, Adaptive Instance Normalization, GAN, Convolution, R1 Regularization, StyleGAN",GAN,StyleGAN,,,,
counterfactual-fairness-removing-direct,Logistic Regression,Logistic Regression,,,,,
graphcore-c2-card-performance-for-image-based,"Global Average Pooling, Convolution, 1x1 Convolution, ResNeXt, ResNeXt Block, ReLU, Grouped Convolution, Kaiming Initialization, Batch Normalization, Residual Connection, Average Pooling",ResNeXt,,,,,
nestedvae-isolating-common-factors-via-weak,"AutoEncoder, VAE",VAE,Autoencoder,,,,
supervised-dimensionality-reduction-and,"PCA, AutoEncoder",Autoencoder,,,,,
imbalance-learning-for-variable-star,Gaussian Process,Gaussian Process,,,,,
attention-aware-fusion-rgb-d-face-recognition,"Tanh Activation, LSTM, Sigmoid Activation, Convolution",LSTM,,,,,
introducing-fuzzy-layers-for-deep-learning,"GoogLeNet, Average Pooling, Dense Connections, AlexNet, Label Smoothing, Inception Module, RMSProp, Inception-v3 Module, Grouped Convolution, Auxiliary Classifier, Inception-v3, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout",GoogleNet,LeNet,AlexNet,,,
an-information-theoretic-approach-to-3,Linear Regression,Linear Regression,,,,,
tensor-networks-for-language-modeling,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
disease-detection-from-lung-x-ray-images,"Capsule Network, Dense Connections, Spatial Transformer, Softmax, Convolution, VGG, Max Pooling, ReLU, Dropout, STN",Transformer,VGG,Capsule Network,,,
automatic-differentiation-variational-1,AutoEncoder,Autoencoder,,,,,
amateur-drones-detection-a-machine-learning,"SVM, ICA",SVM,,,,,
real-time-federated-evolutionary-neural,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
cross-modal-learning-for-multi-modal-video,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
puminer-mining-security-posts-from-developer,SVM,SVM,,,,,
fedloc-federated-learning-framework-for,Gaussian Process,Gaussian Process,,,,,
security-of-distributed-machine-learning-a,SVM,SVM,,,,,
a-precisely-xtreme-multi-channel-hybrid,Logistic Regression,Logistic Regression,,,,,
short-term-forecasting-of-co2-emission,"Linear Regression, Softmax, Feature Selection",Linear Regression,,,,,
application-of-deep-q-network-in-portfolio,"DQN, Dense Connections, Q-Learning, Convolution",Q-Learning,,,,,
human-activity-recognition-using-multi-head,"Tanh Activation, LSTM, Sigmoid Activation, SVM",SVM,LSTM,,,,
pool-based-unsupervised-active-learning-for,Linear Regression,Linear Regression,,,,,
radiomic-feature-selection-for-lung-cancer,"SVM, Feature Selection",SVM,,,,,
improving-predictions-by-nonlinear-regression,Linear Regression,Linear Regression,,,,,
uncertainty-estimation-in-cancer-survival,Logistic Regression,Logistic Regression,,,,,
mirrored-autoencoders-with-simplex,AutoEncoder,Autoencoder,,,,,
preferential-batch-bayesian-optimization,Gaussian Process,Gaussian Process,,,,,
how-deep-is-your-encoder-an-analysis-of,AutoEncoder,Autoencoder,,,,,
obliviousness-makes-poisoning-adversaries,"Linear Regression, Feature Selection",Linear Regression,,,,,
pipelined-backpropagation-at-scale-training,"ResNet, Average Pooling, Dense Connections, SPEED, Global Average Pooling, VGG, Pipelined Backpropagation, Bottleneck Residual Block, Residual Connection, SGD, Online Normalization, Convolution, Residual Block, Softmax, Max Pooling, Group Normalization, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",GAT,VGG,ResNet,,,
tracer-a-framework-for-facilitating-accurate,Logistic Regression,Logistic Regression,,,,,
introduction-to-rare-event-predictive,AutoEncoder,Autoencoder,,,,,
latent-patient-network-learning-for-automatic,GCN,GCN,,,,,
global-attention-based-graph-convolutional,"Graph Neural Network, GAT",GAT,GNN,,,,
a-hierarchical-transformer-for-unsupervised,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
